"ARTWORK_ID","artist_id","room_id","artwork_price","gallery_id","artwork_medium","materials","artwork_year","gallery_established_year"
94101,"27001",10752,4567865.000000,"1901",Painting,fgs,2020,"2003"
94151,"27001",10752,175000.500000,"1901",Painting,"",2019,"2003"
94501,,10945,,"8552",,,,"2014"
94502,,10945,,"8552",,,,"2014"
94503,"32915",10945,37500.500000,"8552",Painting,Oil on Canvas,2017,"2014"
94504,"32915",10945,17500.500000,"8552",Painting,Oil on Canvas,2018,"2014"
94505,"32915",10945,17500.500000,"8552",Painting,Oil on Canvas,2019,"2014"
94506,"32915",10945,,"8552",Painting,Oil on Canvas,2019,"2014"
94507,"52204",10921,17500.500000,"12801",Painting,acrylic and oil on canvas,2018,"2017"
94508,"32915",10945,,"8552",Painting,Oil on Canvas,2019,"2014"
94509,"52204",10921,17500.500000,"12801",Painting,"",2019,"2017"
94510,"52204",10921,17500.500000,"12801",Painting,acrylic on canvas,2018,"2017"
94511,"52204",10921,,"12801",Painting,acrylic and oil on canvas,2019,"2017"
94512,"32915",10945,,"8552",Painting,Oil on Canvas,2019,"2014"
94513,"11857",10877,375000.500000,"2003",Mixed Media,Mixed media on china paper,1975,"1993"
94514,"11857",10877,375000.500000,"2003",Painting,Oil on canvas,1957,"1993"
94515,"32915",10945,,"8552",Painting,Oil on Canvas,2012,"2014"
94516,"27001",11108,750000.500000,"1901",Photography,"",2019,"2003"
94517,"6860",10919,56000.000000,"1069",Sculpture,Glazed ceramic and steel,2018,"1977"
94518,"6777",10864,175000.500000,"1059",Painting," vinyl, dispersion and dry pigment on canvas",2018,"1986"
94519,"6769",10864,75000.500000,"1059",Mixed Media,"8 spotlights, artificial haze",2007,"1986"
94520,"6862",10919,77000.000000,"1069",Painting," Diptych, Acrylic on canvas",2020,"1977"
94521,"27001",11115,375000.500000,"22351",Photography,"",2020,"2020"
94522,"11460",10919,338000.000000,"1069",Installation,"Mixed media on plywood, copper",2010,"1977"
94523,,10952,,"1169",,,,"1995"
94524,,10952,,"1169",,,,"1995"
94525,,10952,,"1169",,,,"1995"
94526,"11131",10895,50000.000000,"2209",Painting,Acrylic on umbrella glued on blue canvas,1984,"2006"
94527,"11131",10895,170000.000000,"2209",Painting,Acrylic on tarpaulin,1980,"2006"
94528,"7429",10955,90000.000000,"1383",Painting,ACRYLIC / ALUMINIUM,2012,"1988"
94529,"33699",11057,,"14001",Sculpture,"Object, stainless steel",2019,"2017"
94530,"52204",10921,37500.500000,"12801",Painting,acrylic and gel medium on canvas,2018,"2017"
94531,"52204",10921,,"12801",Painting,acrylic and modeling paste on canvas,2018,"2017"
94532,"52204",10921,13500.000000,"12801",Painting,acrylic and gel medium on canvas,2019,"2017"
94533,"52204",10921,17500.500000,"12801",Painting,oil and acrylic on canvas,2019,"2017"
