"ARTWORK_ID","artist_id","room_id","artwork_price","gallery_id","artwork_medium","materials","artwork_year","gallery_established_year"
138854,"31278",24715,12000.000000,"1166",Painting,"Oil, flashe, paper on canvas ",2021,"1970"
138855,"69904",24715,28000.000000,"1166",Painting,Acrylic on canvas,2021,"1970"
138857,"8407",24757,250000.500000,"1237",Painting,Oil on canvas,1955,"1993"
138858,"49540",24663,62500.500000,"2271",Painting,Acrylic and earth on canvas,1958,"1989"
138859,"30329",24809,37500.500000,"1247",Painting,Acrylic and mixed media on canvas,2021,"2002"
138860,"8012",24663,350000.500000,"2271",Mixed Media,Mixed media and assemblage on panel,1998,"1989"
138861,"31539",24715,22000.000000,"1166",Painting,Soft pastel and flashe on wood panel,2021,"1970"
138862,"9066",24757,62500.500000,"1237",Sculpture,Wood carving / Plane tree,2018,"1993"
138863,"31539",24715,18000.000000,"1166",Painting,Soft pastel and flashe on wood panel,2021,"1970"
138864,"8376",24663,1500000.500000,"2271",Painting,Mixed media on burlap,1960,"1989"
138865,"8376",24663,625000.500000,"2271",Painting,Mixed media on burlap,1965,"1989"
138866,"30391",24663,150000.500000,"2271",Painting,Wire and metal with wooden and metal frame,1957,"1989"
138867,"83954",24715,7000.000000,"1166",Painting,Oil on canvas,2020,"1970"
138868,"19551",24715,10000.000000,"1166",Mixed Media,"Paper, acrylic paint and cotton and silk thread on board",2021,"1970"
138869,"19551",24715,10000.000000,"1166",Mixed Media,"Paper, acrylic paint and cotton and silk thread on board",2021,"1970"
138870,"19551",24715,80000.000000,"1166",Mixed Media,"Paper, engineered wood, Plexiglas, balsa wood, piano wire and acrylic paint on birch ply panel",2021,"1970"
138910,"30767",24715,35000.000000,"1166",Painting,Oil on panel,2020,"1970"
138911,"7879",24757,250000.500000,"1237",Painting,Acrylic on canvas,1980,"1993"
138912,"22902",24663,350000.500000,"2271",Painting,Oil on canvas,1959,"1989"
138913,"23417",24663,450000.500000,"2271",Painting,Oil on canvas,1956,"1989"
138915,"9213",24663,875000.500000,"2271",Painting,Oil on canvas,1974,"1989"
138916,"30767",24715,35000.000000,"1166",Painting,Oil on panel ,2021,"1970"
138918,"7383",24757,37500.500000,"1237",Sculpture,"Aluminium cast, chromal paint",2017,"1993"
138919,"21324",24757,37500.500000,"1237",Painting,"Acrylic, spray paint, photo transfer, and oil on canvas",2020,"1993"
138920,"31539",24715,15000.000000,"1166",Painting,Colored pencil and spray paint on panel,2021,"1970"
138921,"8376",24663,625000.500000,"2271",Painting,Mixed media on burlap,1965,"1989"
138922,"83953",24715,32000.000000,"1166",Painting,Oil on canvas,2021,"1970"
138923,"69904",24715,22000.000000,"1166",Painting,Acrylic on canvas,2021,"1970"
138924,"69904",24715,19000.000000,"1166",Painting,Acrylic on canvas,2021,"1970"
138925,"69904",24715,7500.000000,"1166",Work on Paper,Acrylic on paper,2021,"1970"
138926,"31278",24715,12000.000000,"1166",Painting,"Oil, flashe, paper on canvas",2021,"1970"
138959,"31278",24715,12000.000000,"1166",Painting,"Oil, flashe, paper on canvas",2021,"1970"
138960,"31278",24715,2500.000000,"1166",Work on Paper,Ink on paper,2019,"1970"
138961,"69904",24715,30000.000000,"1166",Painting,Acrylic on canvas,2021,"1970"
138962,"9096",24757,150000.500000,"1237",Painting,"Oil, acrylic and gouache on canvas",2004,"1993"
138963,"29862",24757,62500.500000,"1237",Painting,"Oil, acrylic and gold leaf on canvas",2020,"1993"
138964,"15456",24757,62500.500000,"1237",Painting,Oil and spray paint on canvas,2020,"1993"
138965,"44554",24809,37500.500000,"1247",Painting,Acrylic and oil on canvas,2021,"2002"
138966,"21966",24663,350000.500000,"2271",Painting,Oil on canvas,1975,"1989"
138967,"57251",24809,17500.500000,"1247",Painting,Acrylic on canvas,2021,"2002"
138968,"13154",24715,35000.000000,"1166",Painting,Mixed media oil on canvas,2018,"1970"
138969,"13154",24715,15000.000000,"1166",Painting,Mixed media oil on canvas,2018,"1970"
138970,"13154",24715,15000.000000,"1166",Painting,Mixed media oil on canvas,2018,"1970"
138971,"30767",24715,40000.000000,"1166",Painting,Oil on panel,2021,"1970"
138972,"8347",24757,62500.500000,"1237",Other Materials,"Tapestry, thread",2017,"1993"
138973,"69904",24715,2500.000000,"1166",Work on Paper,Acrylic on paper,2021,"1970"
139001,"83953",24715,11000.000000,"1166",Painting,Oil on panel,2021,"1970"
139002,"83953",24715,32000.000000,"1166",Painting,Oil on canvas,2021,"1970"
139003,"7219",24668,1500000.500000,"17703",Sculpture,Brushed aluminum,1985,"2017"
139004,"6807",24668,625000.500000,"17703",Painting,Acrylic on canvas,1966,"2017"
139005,"6807",24668,450000.500000,"17703",Painting,Acrylic on canvas,1976,"2017"
139006,"41637",24703,1500000.500000,"1860",Sculpture,suede,1993,"1996"
139007,"41679",24703,875000.500000,"1860",Painting,acrylic on canvas,1974,"1996"
139008,"37116",24814,62500.500000,"1614",Painting,Acrylic on deer hide,2019,"1993"
139009,"37116",24814,62500.500000,"1614",Sculpture,Hand-engraved iron,2014,"1993"
139010,"71522",24809,37500.500000,"1247",Painting,Painting - Acrylic on canvas,2021,"2002"
139011,"60127",24809,37500.500000,"1247",Painting,Oil on linen,2021,"2002"
139012,"15961",24809,37500.500000,"1247",Painting,"Oil, sand on digital print on canvas",2021,"2002"
139013,"84152",24763,87500.500000,"29008",Sculpture,Bronze,1978,"2002"
139015,"84502",24663,37500.500000,"2271",Painting,Oil on canvas,1965,"1989"
139016,"7716",24712,25000.000000,"1157",Work on Paper,"Watercolor, ink, printed vinyl shelf liner on watercolor paper",2020,"1976"
139017,"6905",24712,75000.000000,"1157",Sculpture,"Bamboo, Dacron, acrylic, paper, and wood",2021,"1976"
139018,"11161",24712,10000.000000,"1157",Work on Paper,Ink on UV Paper,2016,"1976"
139019,"37116",24814,17500.500000,"1614",Work on Paper,Monotype and gold leaf on paper,2018,"1993"
139021,"72536",24714,14000.000000,"2599",Sculpture,Corten steel,2021,"2011"
139022,"33879",24756,31000.000000,"12716",Painting,Acrylic and oil pastel on paper,1960,"1982"
139023,"30578",24756,90000.000000,"12716",Painting,Mixed media on canvas,2016,"1982"
139024,"61146",24756,37500.500000,"12716",Painting,Oil on canvas,2018,"1982"
139026,"37448",24703,17500.500000,"1860",Mixed Media,mixed media on canvas,2020,"1996"
139027,"37448",24703,17500.500000,"1860",Mixed Media,mixed media on canvas,2020,"1996"
139028,"49084",24666,250000.500000,"1258",Painting,Oil and paper transfer on canvas,2021,"1999"
139029,"60938",24666,62500.500000,"1258",Painting,Oil on canvas,2021,"1999"
139030,"8508",24674,225000.000000,"1256",Sculpture,"Mirror, high-density foam, MDF",2021,"1989"
139031,"8597",24674,650000.000000,"1256",Painting,Enamel on Aluminum,2013,"1989"
139033,"19615",24810,3463.000000,"1195",Work on Paper,"Acrylic, ink and pencil on paper",2021,"2007"
139034,"24224",24810,16160.680000,"1195",Sculpture,Iroko and iron,2021,"2007"
139035,"24224",24810,17000.000000,"1195",Sculpture,"Iroko, rubber, thread and leather",2014,"2007"
139036,"13460",24754,37500.500000,"1180",Work on Paper,typed written text on vintage Notarial ledger,2021,"1971"
139037,"7927",24754,17500.500000,"1180",Painting,oil and fine art print on canvas,2020,"1971"
139038,"10694",24710,150000.500000,"1266",Sculpture,Enamel on cast Hydrostone,1982,"1991"
139039,"11143",24710,625000.500000,"1266",Work on Paper,Stack of cut paper,1976,"1991"
139040,"37462",24809,17500.500000,"1247",Painting,Oil on linen,2021,"2002"
139041,"35506",24809,37500.500000,"1247",Work on Paper,"Gouache, soft pastel on Somerset satin paper",2021,"2002"
139042,"9250",24710,185000.000000,"1266",Installation,"Bamboo branch, shell, glass egg, coloured pencil, sand, electronic device, motor, steel, glass",2019,"1991"
